UCA,Slot,Flags,jsrc,ksrc,unit,mode,lsrc,vari,vao,vaspace,atop,dir,width,sr1ri,sr2ri,sr1wi,sr2wi,sr1wsrc,sr2wsrc,special,seqop,statop,gprw,irw,drw,tiw,allowint,power,next
0000,.reset,*,.zero,.zero,.alu,0,.status,.one,.zero,.raw,.none,.read,.32b,.one,.zero,.temp_1,.zero,.l,.no_write,.load_rsn_from_l,.next_uop,.hold,,,,,,,0x01D
00A0,0x00A,*,.sr2,.vao,.alu,18,.alu,.zero,.one,.raw,.none,.read,.32b,.one,.temp_2,.one,.temp_2,.virtual_addr,.l,.load_rsn_from_l,.next_uop,.compute,,,,,,,0x00C
00B0,0x00B,*,.zero,.zero,.alu,0,.status,.one,.zero,.raw,.none,.read,.32b,.one,.zero,.one,.zero,.no_write,.no_write,.none,.next_instruction,.hold,,,,,ALLOWINT,,.reset
00C0,0x00C,0,.zero,.zero,.alu,0,.alu,.one,.zero,.raw,.none,.read,.32b,.one,.zero,.one,.zero,.no_write,.l,.none,.next_uop,.hold,,,,,,,0x00A
00C1,0x00C,1,.zero,.sr1,.alu,3,.alu,.one,.zero,.raw,.none,.read,.32b,.temp_1,.zero,.one,.zero,.no_write,.no_write,.load_rsn_from_l,.next_uop_force_normal,.hold,,,,,,,0x00B
00C2,0x00C,2,.zero,.zero,.alu,0,.alu,.one,.zero,.raw,.none,.read,.32b,.one,.zero,.one,.zero,.no_write,.l,.none,.next_uop,.hold,,,,,,,0x00A
00C3,0x00C,3,.zero,.sr1,.alu,3,.alu,.one,.zero,.raw,.none,.read,.32b,.temp_1,.zero,.one,.zero,.no_write,.no_write,.load_rsn_from_l,.next_uop_force_normal,.hold,,,,,,,0x00B
00C4,0x00C,4,.zero,.zero,.alu,0,.alu,.one,.zero,.raw,.none,.read,.32b,.one,.zero,.one,.zero,.no_write,.l,.none,.next_uop,.hold,,,,,,,0x00A
00C5,0x00C,5,.zero,.sr1,.alu,3,.alu,.one,.zero,.raw,.none,.read,.32b,.temp_1,.zero,.one,.zero,.no_write,.no_write,.load_rsn_from_l,.next_uop_force_normal,.hold,,,,,,,0x00B
00C6,0x00C,6,.zero,.zero,.alu,0,.alu,.one,.zero,.raw,.none,.read,.32b,.one,.zero,.one,.zero,.no_write,.l,.none,.next_uop,.hold,,,,,,,0x00A
00C7,0x00C,7,.zero,.sr1,.alu,3,.alu,.one,.zero,.raw,.none,.read,.32b,.temp_1,.zero,.one,.zero,.no_write,.no_write,.load_rsn_from_l,.next_uop_force_normal,.hold,,,,,,,0x00B
00C8,0x00C,8,.zero,.zero,.alu,0,.alu,.one,.zero,.raw,.none,.read,.32b,.one,.zero,.one,.zero,.no_write,.l,.none,.next_uop,.hold,,,,,,,0x00A
00C9,0x00C,9,.zero,.sr1,.alu,3,.alu,.one,.zero,.raw,.none,.read,.32b,.temp_1,.zero,.one,.zero,.no_write,.no_write,.load_rsn_from_l,.next_uop_force_normal,.hold,,,,,,,0x00B
00CA,0x00C,A,.zero,.zero,.alu,0,.alu,.one,.zero,.raw,.none,.read,.32b,.one,.zero,.one,.zero,.no_write,.l,.none,.next_uop,.hold,,,,,,,0x00A
00CB,0x00C,B,.zero,.sr1,.alu,3,.alu,.one,.zero,.raw,.none,.read,.32b,.temp_1,.zero,.one,.zero,.no_write,.no_write,.load_rsn_from_l,.next_uop_force_normal,.hold,,,,,,,0x00B
00CC,0x00C,C,.zero,.zero,.alu,0,.alu,.one,.zero,.raw,.none,.read,.32b,.one,.zero,.one,.zero,.no_write,.l,.none,.next_uop,.hold,,,,,,,0x00A
00CD,0x00C,D,.zero,.sr1,.alu,3,.alu,.one,.zero,.raw,.none,.read,.32b,.temp_1,.zero,.one,.zero,.no_write,.no_write,.load_rsn_from_l,.next_uop_force_normal,.hold,,,,,,,0x00B
